,image_id,case_id,img_file,new_path,coords
315,330,256,/data/cimalab/thyroid/242_1.jpg,data/resized_imgs/img_425,"[array([268, 79, 87, 96], dtype=object)]"
226,235,179,/data/cimalab/thyroid/171_1.jpg,data/resized_imgs/img_285,"[array([128, 99, 131, 126], dtype=object), array([351, 98, 113, 122], dtype=object)]"
254,264,203,/data/cimalab/thyroid/194_1.jpg,data/resized_imgs/img_328,"[array([261, 109, 95, 58], dtype=object)]"
55,57,64,/data/cimalab/bening/611/1.jpg,data/resized_imgs/img_57,"[array([144, 36, 259, 171], dtype=object)]"
60,62,70,/data/cimalab/bening/618/1.jpg,data/resized_imgs/img_63,"[array([236, 59, 107, 52], dtype=object)]"
523,539,430,/data/cimalab/thyroid/46_1.jpg,data/resized_imgs/img_673,"[array([223, 98, 104, 113], dtype=object)]"
185,190,143,/data/cimalab/thyroid/139_2.jpg,data/resized_imgs/img_225,"[array([190, 61, 102, 85], dtype=object)]"
424,439,352,/data/cimalab/thyroid/333_1.jpg,data/resized_imgs/img_570,"[array([205, 82, 143, 150], dtype=object)]"
361,376,301,/data/cimalab/thyroid/283_1.jpg,data/resized_imgs/img_501,"[array([105, 125, 133, 76], dtype=object), array([367, 108, 100, 75], dtype=object)]"
38,40,29,/data/cimalab/bening/575/2.jpg,data/resized_imgs/img_40,"[array([135, 95, 285, 157], dtype=object)]"
159,162,121,/data/cimalab/thyroid/119_1.jpg,data/resized_imgs/img_177,"[array([227, 73, 216, 147], dtype=object)]"
47,49,53,/data/cimalab/bening/600/1.jpg,data/resized_imgs/img_49,"[array([138, 28, 268, 188], dtype=object)]"
114,117,54,/data/cimalab/maling/601/1.jpg,data/resized_imgs/img_118,"[array([331, 83, 110, 90], dtype=object)]"
34,36,25,/data/cimalab/bening/571/2.jpg,data/resized_imgs/img_35,"[array([104, 323, 109, 71], dtype=object), array([264, 140, 116, 73], dtype=object)]"
20,21,18,/data/cimalab/bening/564/1.jpg,data/resized_imgs/img_21,"[array([170, 62, 116, 127], dtype=object)]"
394,409,328,/data/cimalab/thyroid/307_1.jpg,data/resized_imgs/img_538,"[array([198, 64, 227, 158], dtype=object)]"
490,505,400,/data/cimalab/thyroid/378_1.jpg,data/resized_imgs/img_640,"[array([205, 54, 130, 176], dtype=object)]"
257,268,207,/data/cimalab/thyroid/198_1.jpg,data/resized_imgs/img_333,"[array([132, 79, 112, 68], dtype=object), array([361, 65, 158, 77], dtype=object)]"
353,368,293,/data/cimalab/thyroid/276_1.jpg,data/resized_imgs/img_488,"[array([112, 25, 97, 76], dtype=object), array([357, 21, 95, 72], dtype=object)]"
363,378,303,/data/cimalab/thyroid/285_1.jpg,data/resized_imgs/img_505,"[array([286, 97, 151, 143], dtype=object)]"
314,329,255,/data/cimalab/thyroid/241_1.jpg,data/resized_imgs/img_423,"[array([95, 63, 133, 137], dtype=object), array([315, 61, 193, 137], dtype=object)]"
192,198,149,/data/cimalab/thyroid/144_1.jpg,data/resized_imgs/img_233,"[array([105, 89, 108, 79], dtype=object), array([377, 73, 94, 81], dtype=object)]"
583,601,479,/data/cimalab/thyroid/90_1.jpg,data/resized_imgs/img_756,"[array([181, 78, 226, 202], dtype=object)]"
130,133,85,/data/cimalab/maling/635/1.jpg,data/resized_imgs/img_135,"[array([244, 100, 115, 74], dtype=object)]"
460,475,379,/data/cimalab/thyroid/358_1.jpg,data/resized_imgs/img_608,"[array([230, 116, 59, 41], dtype=object)]"
131,134,88,/data/cimalab/maling/638/1.jpg,data/resized_imgs/img_136,"[array([207, 84, 170, 147], dtype=object)]"
419,434,342,/data/cimalab/thyroid/32_1.jpg,data/resized_imgs/img_559,"[array([214, 111, 93, 69], dtype=object)]"
330,345,271,/data/cimalab/thyroid/256_1.jpg,data/resized_imgs/img_452,"[array([322, 73, 123, 109], dtype=object), array([89, 69, 181, 124], dtype=object)]"
165,169,127,/data/cimalab/thyroid/124_1.jpg,data/resized_imgs/img_187,"[array([117, 130, 128, 74], dtype=object), array([364, 108, 130, 76], dtype=object)]"
402,417,335,/data/cimalab/thyroid/313_2.jpg,data/resized_imgs/img_547,"[array([190, 44, 156, 112], dtype=object)]"
334,349,264,/data/cimalab/thyroid/25_1.jpg,data/resized_imgs/img_440,"[array([131, 38, 276, 183], dtype=object)]"
391,406,325,/data/cimalab/thyroid/304_1.jpg,data/resized_imgs/img_535,"[array([169, 47, 199, 175], dtype=object)]"
123,126,71,/data/cimalab/maling/619/1.jpg,data/resized_imgs/img_128,"[array([264, 85, 92, 131], dtype=object)]"
189,194,146,/data/cimalab/thyroid/141_1.jpg,data/resized_imgs/img_229,"[array([237, 113, 121, 67], dtype=object)]"
284,298,230,/data/cimalab/thyroid/219_1.jpg,data/resized_imgs/img_374,"[array([201, 95, 231, 126], dtype=object)]"
423,438,351,/data/cimalab/thyroid/332_1.jpg,data/resized_imgs/img_569,"[array([215, 116, 82, 37], dtype=object)]"
450,465,371,/data/cimalab/thyroid/350_2.jpg,data/resized_imgs/img_597,"[array([189, 37, 184, 146], dtype=object)]"
68,70,85,/data/cimalab/bening/635/1.jpg,data/resized_imgs/img_71,"[array([244, 100, 115, 74], dtype=object)]"
539,556,446,/data/cimalab/thyroid/60_1.jpg,data/resized_imgs/img_691,"[array([136, 135, 42, 42], dtype=object), array([356, 126, 43, 47], dtype=object)]"
184,189,143,/data/cimalab/thyroid/139_1.jpg,data/resized_imgs/img_222,"[array([117, 73, 106, 59], dtype=object), array([398, 80, 101, 61], dtype=object)]"
475,490,389,/data/cimalab/thyroid/367_1.jpg,data/resized_imgs/img_626,"[array([214, 91, 75, 58], dtype=object)]"
496,511,406,/data/cimalab/thyroid/383_1.jpg,data/resized_imgs/img_647,"[array([177, 52, 213, 186], dtype=object)]"
